NAME                                  CPU %               MEM %
streamer                              95.83%              3.42%
driveui-streamer                      0.58%               0.42%
connectador                           12.99%              0.34%
gateway-streamer                      0.03%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      218.79%             29.67%
coco-host-handlers                    0.51%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.23%               2.04%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.24%               0.51%
NAME                                  CPU %               MEM %
streamer                              108.19%             3.42%
driveui-streamer                      0.72%               0.42%
connectador                           14.54%              0.35%
gateway-streamer                      0.03%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      230.44%             29.67%
coco-host-handlers                    0.45%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.36%               2.04%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.25%               0.51%
NAME                                  CPU %               MEM %
streamer                              106.70%             3.42%
driveui-streamer                      0.56%               0.42%
connectador                           12.85%              0.34%
gateway-streamer                      0.22%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      246.85%             29.67%
coco-host-handlers                    0.35%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.30%               2.04%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.51%               0.51%
NAME                                  CPU %               MEM %
streamer                              106.76%             3.42%
driveui-streamer                      0.57%               0.42%
connectador                           12.82%              0.34%
gateway-streamer                      0.03%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      286.81%             29.66%
coco-host-handlers                    0.54%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.27%               2.04%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.12%               0.51%
NAME                                  CPU %               MEM %
streamer                              108.49%             3.42%
driveui-streamer                      0.68%               0.42%
connectador                           13.04%              0.34%
gateway-streamer                      0.04%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      222.81%             29.67%
coco-host-handlers                    0.38%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.28%               2.04%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.30%               0.51%
NAME                                  CPU %               MEM %
streamer                              106.14%             3.42%
driveui-streamer                      0.61%               0.42%
connectador                           12.73%              0.34%
gateway-streamer                      0.24%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      218.26%             29.67%
coco-host-handlers                    1.01%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.32%               2.04%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.09%               0.51%
NAME                                  CPU %               MEM %
streamer                              99.65%              3.42%
driveui-streamer                      0.73%               0.42%
connectador                           13.79%              0.34%
gateway-streamer                      0.04%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      210.83%             29.62%
coco-host-handlers                    0.35%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.30%               2.04%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.32%               0.51%
NAME                                  CPU %               MEM %
streamer                              102.54%             3.42%
driveui-streamer                      0.59%               0.42%
connectador                           13.01%              0.34%
gateway-streamer                      0.04%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      229.55%             29.67%
coco-host-handlers                    0.38%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.35%               2.04%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.12%               0.51%
NAME                                  CPU %               MEM %
streamer                              103.85%             3.42%
driveui-streamer                      0.65%               0.42%
connectador                           12.48%              0.34%
gateway-streamer                      0.04%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      225.13%             29.67%
coco-host-handlers                    7.21%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.29%               2.04%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.30%               0.51%
NAME                                  CPU %               MEM %
streamer                              101.13%             3.42%
driveui-streamer                      0.63%               0.42%
connectador                           12.94%              0.34%
gateway-streamer                      0.21%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      286.40%             29.68%
coco-host-handlers                    0.38%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.31%               2.04%
coco-file-uploader                    0.04%               0.68%
coco-one-docker-cloudwatchlogs        1.18%               0.51%
NAME                                  CPU %               MEM %
streamer                              105.74%             3.42%
driveui-streamer                      0.62%               0.42%
connectador                           13.15%              0.35%
gateway-streamer                      0.04%               0.21%
identity                              0.00%               0.11%
coco-one-ros-dev                      222.49%             29.67%
coco-host-handlers                    0.34%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.27%               2.04%
coco-file-uploader                    0.01%               0.68%
