NAME                                  CPU %               MEM %
coco-autonomy-deploy                  11.08%              2.61%
streamer                              91.13%              2.65%
connectador                           11.31%              0.31%
driveui-streamer                      0.65%               0.37%
gateway-streamer                      0.05%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      221.42%             26.73%
coco-host-handlers                    0.33%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.89%
coco-file-uploader                    0.01%               0.68%
coco-one-docker-cloudwatchlogs        1.15%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.43%               2.61%
streamer                              89.31%              2.65%
connectador                           11.20%              0.31%
driveui-streamer                      0.62%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      204.20%             26.72%
coco-host-handlers                    0.34%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.18%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  6.92%               2.61%
streamer                              89.79%              2.65%
connectador                           11.45%              0.31%
driveui-streamer                      0.76%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      170.89%             26.71%
coco-host-handlers                    0.46%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.26%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  6.63%               2.61%
streamer                              92.01%              2.65%
connectador                           11.18%              0.30%
driveui-streamer                      0.83%               0.37%
gateway-streamer                      0.23%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      173.45%             26.72%
coco-host-handlers                    0.35%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.32%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.29%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.69%               2.61%
streamer                              93.25%              2.65%
connectador                           11.15%              0.30%
driveui-streamer                      0.53%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      175.78%             26.72%
coco-host-handlers                    0.37%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.20%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.80%               2.61%
streamer                              94.19%              2.65%
connectador                           11.54%              0.30%
driveui-streamer                      0.58%               0.37%
gateway-streamer                      0.05%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      171.03%             26.72%
coco-host-handlers                    0.50%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.25%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.14%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  13.26%              2.61%
streamer                              95.11%              2.65%
connectador                           11.01%              0.30%
driveui-streamer                      0.64%               0.37%
gateway-streamer                      0.24%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      197.69%             26.69%
coco-host-handlers                    0.57%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.24%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.03%               2.61%
streamer                              96.57%              2.65%
connectador                           11.36%              0.30%
driveui-streamer                      0.66%               0.37%
gateway-streamer                      0.05%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      231.06%             26.69%
coco-host-handlers                    0.39%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.18%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.38%               2.61%
streamer                              93.02%              2.65%
connectador                           11.14%              0.30%
driveui-streamer                      0.69%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      182.14%             26.69%
coco-host-handlers                    0.58%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.18%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.38%               2.61%
streamer                              97.09%              2.65%
connectador                           12.63%              0.30%
driveui-streamer                      0.59%               0.37%
gateway-streamer                      0.23%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      176.62%             26.69%
coco-host-handlers                    0.32%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.35%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.31%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.72%               2.61%
streamer                              93.09%              2.66%
connectador                           11.14%              0.30%
driveui-streamer                      0.73%               0.37%
gateway-streamer                      0.05%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      180.23%             26.69%
coco-host-handlers                    0.37%               0.40%
