NAME                                  CPU %               MEM %
coco-autonomy-deploy                  92.23%              17.32%
coco-one-ros-dev                      180.92%             27.98%
streamer                              89.46%              1.39%
connectador                           11.66%              0.11%
driveui-streamer                      0.59%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    4.28%               0.49%
coco-host-handlers                    0.24%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.29%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  85.13%              17.32%
coco-one-ros-dev                      184.93%             27.98%
streamer                              91.10%              1.39%
connectador                           12.08%              0.11%
driveui-streamer                      0.50%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    0.14%               0.49%
coco-host-handlers                    0.25%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.27%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  87.91%              17.32%
coco-one-ros-dev                      173.95%             27.98%
streamer                              87.55%              1.39%
connectador                           11.58%              0.11%
driveui-streamer                      0.41%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    1.68%               0.49%
coco-host-handlers                    0.38%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.05%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  82.21%              17.32%
coco-one-ros-dev                      178.21%             27.98%
streamer                              86.31%              1.39%
connectador                           12.06%              0.11%
driveui-streamer                      0.49%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    3.14%               0.49%
coco-host-handlers                    0.17%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.13%
coco-one-docker-cloudwatchlogs        1.22%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  78.71%              17.32%
coco-one-ros-dev                      178.60%             27.98%
streamer                              90.78%              1.39%
connectador                           11.86%              0.11%
driveui-streamer                      0.53%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    0.19%               0.49%
coco-host-handlers                    0.33%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.36%               0.13%
coco-one-docker-cloudwatchlogs        1.20%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  97.31%              17.32%
coco-one-ros-dev                      229.62%             27.98%
streamer                              92.94%              1.39%
connectador                           11.69%              0.11%
driveui-streamer                      0.53%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    4.01%               0.49%
coco-host-handlers                    0.44%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.13%
coco-one-docker-cloudwatchlogs        1.14%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  90.28%              17.32%
coco-one-ros-dev                      215.50%             27.98%
streamer                              88.56%              1.39%
connectador                           11.24%              0.11%
driveui-streamer                      0.48%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.06%               0.08%
coco-file-uploader                    2.73%               0.49%
coco-host-handlers                    0.26%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.25%               0.13%
coco-one-docker-cloudwatchlogs        1.31%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  84.63%              17.32%
coco-one-ros-dev                      179.17%             27.98%
streamer                              87.51%              1.39%
connectador                           12.06%              0.11%
driveui-streamer                      0.47%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    5.34%               0.49%
coco-host-handlers                    0.30%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.13%
coco-one-docker-cloudwatchlogs        1.08%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  84.79%              17.32%
coco-one-ros-dev                      184.66%             27.98%
streamer                              89.32%              1.39%
connectador                           11.51%              0.11%
driveui-streamer                      0.51%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    1.41%               0.49%
coco-host-handlers                    0.41%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.02%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  79.74%              17.32%
coco-one-ros-dev                      183.43%             27.98%
streamer                              88.86%              1.39%
connectador                           11.76%              0.11%
driveui-streamer                      0.68%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.07%               0.08%
coco-file-uploader                    2.65%               0.49%
coco-host-handlers                    0.24%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.13%
coco-one-docker-cloudwatchlogs        1.24%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  86.12%              17.32%
coco-one-ros-dev                      178.81%             27.98%
streamer                              89.25%              1.39%
connectador                           11.48%              0.11%
driveui-streamer                      0.70%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    6.32%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.13%
coco-one-docker-cloudwatchlogs        1.11%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  85.66%              17.32%
coco-one-ros-dev                      217.41%             27.98%
streamer                              88.54%              1.39%
connectador                           12.33%              0.11%
driveui-streamer                      0.65%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    1.95%               0.49%
coco-host-handlers                    0.39%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.25%               0.13%
coco-one-docker-cloudwatchlogs        1.25%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  86.77%              17.32%
