NAME                                  CPU %               MEM %
coco-autonomy-deploy                  93.69%              17.32%
coco-one-ros-dev                      135.11%             28.06%
streamer                              54.22%              1.39%
connectador                           6.97%               0.11%
driveui-streamer                      0.55%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    3.66%               0.49%
coco-host-handlers                    0.27%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.39%               0.13%
coco-one-docker-cloudwatchlogs        1.25%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  89.43%              17.32%
coco-one-ros-dev                      153.01%             28.06%
streamer                              52.21%              1.39%
connectador                           2.55%               0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    7.89%               0.49%
coco-host-handlers                    0.30%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.13%
coco-one-docker-cloudwatchlogs        10.74%              0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  78.40%              17.32%
coco-one-ros-dev                      198.21%             28.06%
streamer                              53.75%              1.39%
connectador                           2.61%               0.11%
driveui-streamer                      0.42%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    2.05%               0.49%
coco-host-handlers                    0.22%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.13%
coco-one-docker-cloudwatchlogs        1.22%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  79.06%              17.33%
coco-one-ros-dev                      118.62%             28.06%
streamer                              50.69%              1.39%
connectador                           2.42%               0.11%
driveui-streamer                      0.43%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    5.63%               0.49%
coco-host-handlers                    0.19%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.13%
coco-one-docker-cloudwatchlogs        1.21%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  69.67%              17.32%
coco-one-ros-dev                      124.89%             28.06%
streamer                              50.58%              1.39%
connectador                           4.03%               0.11%
driveui-streamer                      0.47%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.10%               0.08%
coco-file-uploader                    5.08%               0.49%
coco-host-handlers                    0.21%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.27%               0.13%
coco-one-docker-cloudwatchlogs        1.09%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  78.28%              17.32%
coco-one-ros-dev                      124.51%             28.06%
streamer                              51.46%              1.39%
connectador                           2.52%               0.11%
driveui-streamer                      0.44%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    2.28%               0.49%
coco-host-handlers                    0.17%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.23%               0.13%
coco-one-docker-cloudwatchlogs        1.14%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  83.04%              17.32%
coco-one-ros-dev                      123.10%             28.06%
streamer                              52.40%              1.39%
connectador                           4.75%               0.11%
driveui-streamer                      0.64%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    5.00%               0.49%
coco-host-handlers                    0.36%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.13%
coco-one-docker-cloudwatchlogs        1.14%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  80.69%              17.32%
coco-one-ros-dev                      130.81%             28.06%
streamer                              51.76%              1.39%
connectador                           2.83%               0.11%
driveui-streamer                      0.49%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.06%               0.08%
coco-file-uploader                    3.75%               0.49%
coco-host-handlers                    0.20%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.16%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  84.39%              17.32%
coco-one-ros-dev                      210.95%             28.06%
streamer                              54.32%              1.39%
connectador                           3.11%               0.11%
driveui-streamer                      0.46%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    3.03%               0.49%
coco-host-handlers                    0.22%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.25%               0.13%
coco-one-docker-cloudwatchlogs        0.88%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  72.25%              17.32%
coco-one-ros-dev                      125.09%             28.06%
streamer                              49.67%              1.39%
connectador                           2.66%               0.11%
driveui-streamer                      0.43%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    4.52%               0.49%
coco-host-handlers                    0.35%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.35%               0.13%
